10,500,875,500
10,506,875,506
10,512,875,512
9,528,9,232
868,528,868,267
60,270,280,270
10,320,60,320
10,370,60,370
10,420,60,420
10,470,60,470
230,320,280,320
230,370,280,370
230,420,280,420
230,470,280,470
230,220,280,220
230,170,765,170
230,120,280,120
230,70,530,70
480,120,530,120
530,220,580,220
530,270,580,270
360,370,640,370
530,320,580,320
410,420,460,420
410,470,460,470
790,220,868,220
790,270,840,270
790,320,840,320
790,370,840,370
690,320,740,320
690,370,740,370
690,420,740,420
690,470,740,470
60,120,130,120
790,120,840,120
